feature,split_importance,gain_importance,rank_gain
d1_pao2fio2ratio_max_missing,27,719.4547165483236,184
paco2_for_ph_apache,49,706.8049115538597,185
ethnicity_African American,46,694.4851450920105,186
h1_hematocrit_max,49,673.066290974617,187
h1_sodium_max,44,665.106853812933,188
h1_lactate_min,45,662.2222380638123,189
d1_temp_max_missing,20,660.5772907733917,190
h1_wbc_min,45,652.2898614406586,191
h1_sodium_min,42,645.1066288948059,192
h1_potassium_max,43,639.8959200382233,193
d1_lactate_max_missing,37,634.2681512832642,194
h1_temp_max_missing,34,594.4287424087524,195
urineoutput_apache_missing,47,574.2116422653198,196
bilirubin_apache_missing,28,553.0293967723846,197
h1_hco3_max,39,540.2183706760406,198
icu_type_CCU-CTICU,30,534.5735673904419,199
glucose_apache_missing,24,534.02769947052,200
hospital_admit_source_Other Hospital,22,529.925799369812,201
d1_pao2fio2ratio_min_missing,7,524.1499066352844,202
d1_diasbp_invasive_max_missing,24,522.5531313419342,203
d1_albumin_max_missing,28,507.03010988235474,204
hospital_admit_source_Acute Care/Floor,28,501.45509815216064,205
d1_bun_max_missing,14,472.6710343360901,206
d1_arterial_po2_min_missing,6,472.19830322265625,207
h1_bun_min,33,436.42472887039185,208
apache_2_bodysystem_Haematologic,22,431.79119873046875,209
apache_2_bodysystem_Respiratory,20,426.86406898498535,210
d1_calcium_max_missing,13,415.2028474807739,211
apache_2_bodysystem_Trauma,20,412.5968608856201,212
h1_albumin_max,30,400.6343605518341,213
h1_pao2fio2ratio_min,27,397.9210660457611,214
h1_calcium_max,30,397.75173223018646,215
ethnicity_Caucasian,34,395.62897622585297,216
d1_wbc_max_missing,14,390.508309841156,217
hepatic_failure,19,375.9256992340088,218
icu_type_CSICU,18,366.16320514678955,219
hematocrit_apache_missing,20,363.3945264816284,220
d1_diasbp_max_missing,8,362.7214002609253,221
d1_potassium_min_missing,8,356.3293676376343,222
h1_calcium_min,22,348.57947063446045,223
albumin_apache_missing,20,338.0031235218048,224
d1_creatinine_min_missing,13,336.71020221710205,225
icu_admit_source_Accident & Emergency,20,324.946618553251,226
d1_hematocrit_max_missing,13,319.54459857940674,227
h1_lactate_max,24,318.0226607322693,228
h1_temp_min_missing,20,309.7427787780762,229
h1_hco3_min,23,298.79167222976685,230
height_missing,18,295.16259157657623,231
bun_apache_missing,14,282.66954946517944,232
gcs_verbal_apache_missing,3,278.3591003417969,233
d1_bilirubin_max_missing,18,277.24123096466064,234
d1_mbp_noninvasive_max_missing,12,275.7400007247925,235
d1_platelets_max_missing,9,274.9253616333008,236
icu_type_CTICU,14,273.681640625,237
d1_inr_min_missing,11,259.56075382232666,238
icu_stay_type_transfer,19,259.4257197380066,239
icu_type_SICU,13,255.67435216903687,240
h1_glucose_max_missing,18,254.0096311569214,241
d1_hco3_max_missing,13,248.6916093826294,242
d1_mbp_invasive_min_missing,6,245.31599617004395,243
fio2_apache_missing,12,244.64308738708496,244
d1_sysbp_noninvasive_max_missing,15,243.32869720458984,245
d1_bun_min_missing,4,242.69886350631714,246
bmi_missing,15,238.4116973876953,247
d1_lactate_min_missing,7,232.39385599084198,248
icu_stay_type_admit,16,222.91498184204102,249
d1_wbc_min_missing,5,212.0476951599121,250
apache_2_bodysystem_Gastrointestinal,10,210.42473125457764,251
d1_albumin_min_missing,10,197.4607390165329,252
h1_hemaglobin_max_missing,7,196.8904423713684,253
h1_potassium_max_missing,9,193.54624819755554,254
h1_mbp_max_missing,9,192.54140090942383,255
h1_mbp_noninvasive_max_missing,12,191.5912094116211,256
d1_temp_min_missing,6,179.7194004058838,257
d1_diasbp_invasive_min_missing,8,165.44670248031616,258
h1_bilirubin_max,14,163.3025312423706,259
d1_sysbp_invasive_min_missing,4,161.69164848327637,260
d1_hco3_min_missing,6,152.2253713607788,261
h1_arterial_ph_max_missing,7,150.48750972747803,262
h1_mbp_invasive_max_missing,8,146.1609992980957,263
apache_2_bodysystem_infrequent_sklearn,12,144.541597366333,264
d1_arterial_pco2_min_missing,4,142.10965752601624,265
d1_sodium_max_missing,5,141.38450050354004,266
h1_lactate_max_missing,9,133.64659976959229,267
h1_diasbp_max_missing,7,126.82966899871826,268
h1_inr_max_missing,6,121.90646123886108,269
d1_hematocrit_min_missing,5,121.82409858703613,270
icu_type_MICU,9,121.4728193283081,271
paco2_apache_missing,7,120.88567090034485,272
d1_diasbp_noninvasive_max_missing,7,120.32919979095459,273
d1_hemaglobin_max_missing,8,120.16580963134766,274
h1_sodium_max_missing,9,116.40408825874329,275
ethnicity_Hispanic,8,113.7765007019043,276
d1_bilirubin_min_missing,7,109.18722009658813,277
h1_sysbp_noninvasive_max_missing,7,107.57419967651367,278
h1_hco3_max_missing,5,105.01748943328857,279
h1_arterial_pco2_max_missing,8,103.65258860588074,280
intubated_apache,9,101.79513219743967,281
h1_diasbp_noninvasive_max_missing,8,98.59573078155518,282
