threshold,precision,recall,f1,TN,FP,FN,TP
0.59,0.41348973607038125,0.7125710675931776,0.523312456506611,15160,1600,455,1128
0.6,0.4228441754916793,0.706253948199621,0.5289803643245801,15234,1526,465,1118
0.61,0.4300194931773879,0.6967782691092862,0.5318225650916104,15298,1462,480,1103
0.62,0.4371233427079148,0.6873025900189513,0.5343811394891945,15359,1401,495,1088
0.63,0.4426094137076796,0.677195198989261,0.5353308364544319,15410,1350,511,1072
0.6399999999999999,0.4515991471215352,0.6689829437776375,0.5392057026476579,15474,1286,524,1059
0.6499999999999999,0.4617764030048608,0.6601389766266582,0.5434217368694748,15542,1218,538,1045
0.6599999999999999,0.47363552266419984,0.6468730259001895,0.5468624833110814,15622,1138,559,1024
0.6699999999999999,0.4773701762744164,0.6329753632343651,0.5442694187941336,15663,1097,581,1002
0.6799999999999999,0.4857997010463378,0.6159191408717625,0.5431754874651811,15728,1032,608,975
0.69,0.49536082474226806,0.6070751737207833,0.5455577632699404,15781,979,622,961
0.7,0.503707627118644,0.6007580543272267,0.5479688850475367,15823,937,632,951
0.71,0.5120614035087719,0.5900189513581807,0.5482829468740827,15870,890,649,934
0.72,0.5216400911161732,0.5786481364497789,0.5486672656483977,15920,840,667,916
0.73,0.5301418439716312,0.5666456096020215,0.5477862595419848,15965,795,686,897
0.74,0.5398773006134969,0.5559065066329754,0.5477746654217243,16010,750,703,880
0.7499999999999999,0.5462077756532824,0.5413771320277954,0.5437817258883249,16048,712,726,857
0.7599999999999999,0.5558510638297872,0.5281111813013266,0.5416261742792355,16092,668,747,836
0.7699999999999999,0.5630599586492074,0.5161086544535691,0.5385629531970996,16126,634,766,817
0.7799999999999999,0.5794053662073967,0.5047378395451674,0.5395003376097232,16180,580,784,799
0.7899999999999999,0.5932977913175933,0.4921036007580543,0.5379834254143646,16226,534,804,779
0.7999999999999999,0.6068580542264753,0.48073278584965257,0.536482199506521,16267,493,822,761
0.8099999999999999,0.6175,0.4680985470625395,0.5325188645346748,16301,459,842,741
0.82,0.633245382585752,0.45483259633607076,0.5294117647058824,16343,417,863,720
0.83,0.650093808630394,0.4377763739734681,0.5232163080407701,16387,373,890,693
0.84,0.6673286991062563,0.4245104232469994,0.518918918918919,16425,335,911,672
0.8499999999999999,0.6832627118644068,0.4074542008843967,0.5104867431737238,16461,299,938,645
0.8599999999999999,0.6969353007945517,0.38787113076437146,0.49837662337662336,16493,267,969,614
0.8699999999999999,0.7190184049079754,0.37018319646241316,0.48874061718098416,16531,229,997,586
0.8799999999999999,0.743455497382199,0.35881238155401135,0.48402215594375797,16564,196,1015,568
0.8899999999999999,0.7647887323943662,0.34301958307012004,0.47361535106846925,16593,167,1040,543
0.8999999999999999,0.7853881278538812,0.32596336070751736,0.4607142857142857,16619,141,1067,516
0.9099999999999999,0.81,0.30701200252684774,0.4452588181401741,16646,114,1097,486
0.9199999999999999,0.8281535648994516,0.2861655085281112,0.4253521126760563,16666,94,1130,453
0.9299999999999999,0.8475991649269311,0.25647504737839544,0.3937924345295829,16687,73,1177,406
0.94,0.8687350835322196,0.229943145925458,0.36363636363636365,16705,55,1219,364
0.95,0.8947368421052632,0.2040429564118762,0.3323045267489712,16722,38,1260,323
