feature,mean_abs_shap
sodium_apache,0.007832147908626939
h1_diasbp_noninvasive_min,0.0077992184641141335
d1_spo2_max,0.007653836501777164
d1_sysbp_invasive_max_missing,0.0075903360806970285
h1_arterial_po2_min,0.007531396692299942
h1_glucose_min,0.007503619701830063
d1_diasbp_max,0.0074313279714988386
d1_diasbp_noninvasive_max,0.00740508307872508
icu_admit_source_Floor,0.007238996738741543
hospital_admit_source_Acute Care/Floor,0.0069784586717098794
d1_hematocrit_max,0.006944858856278327
d1_arterial_ph_min_missing,0.006918629347251285
h1_sysbp_noninvasive_min,0.006841177908302358
arf_apache,0.006433753493225012
h1_potassium_min,0.006329697707625554
h1_sysbp_max,0.006197873792411543
apache_3j_bodysystem_Respiratory,0.006133597532445937
d1_arterial_po2_max,0.006108112823017439
h1_wbc_max,0.005996975185340255
h1_lactate_min,0.005965871773687147
d1_sodium_min,0.00582123481227344
d1_diasbp_invasive_max,0.0056979396902290995
icu_type_CSICU,0.005681359525830509
d1_mbp_invasive_max_missing,0.005597288929304655
d1_mbp_noninvasive_max,0.0055850834831083504
temp_apache_missing,0.005562348716468163
paco2_apache,0.004987849878966975
apache_post_operative,0.004733706448124815
h1_mbp_invasive_max,0.004680396096355106
d1_diasbp_invasive_max_missing,0.0046731080216881596
h1_sysbp_invasive_max,0.004466127887944357
h1_potassium_max,0.0044549284405742285
h1_wbc_min,0.004258428826099246
h1_sysbp_invasive_min,0.004208621250926675
h1_hematocrit_min,0.004187057596029043
gcs_motor_apache_missing,0.004137099042412181
immunosuppression,0.004100721457424532
apache_3j_bodysystem_Trauma,0.004087455515980711
hospital_admit_source_Floor,0.004010703532146862
h1_arterial_ph_max,0.0037876577846484272
d1_arterial_pco2_max_missing,0.003769072454762325
h1_arterial_po2_max,0.0036368927035203926
h1_arterial_pco2_min,0.0035090459407810855
h1_inr_min,0.0034425731934953647
wbc_apache_missing,0.003179415819029967
h1_creatinine_min,0.0031731046825447047
h1_pao2fio2ratio_max,0.002982619874245122
d1_inr_min_missing,0.0029756991408648467
gcs_unable_apache,0.0028466185872118317
apache_2_bodysystem_Gastrointestinal,0.002777941535467457
h1_hemaglobin_min,0.002750366077750005
h1_arterial_ph_max_missing,0.0026956824348764383
d1_sysbp_invasive_min_missing,0.0026108843778323097
d1_mbp_invasive_min_missing,0.0025798326455950663
pao2_apache,0.002576174614814723
icu_stay_type_transfer,0.002563627683331393
