rank,feature_1,feature_2,mean_abs_interaction,mean_signed_interaction,median_signed_interaction
41,age,d1_spo2_min,0.0036544432001371563,0.0007043225066959966,0.0011060468982163531
42,gcs_motor_apache,d1_bun_min,0.0036216187512915308,-0.00046586022440507803,-0.0012003106431137333
43,ventilated_apache,pre_icu_los_days,0.003538790018780558,-0.0008722056926283737,-0.0009995790071096909
44,gcs_verbal_apache,d1_heartrate_min,0.003499187565930621,-0.0005224680721039385,-0.00046904699267802245
45,d1_spo2_min,d1_lactate_min,0.003488936973102271,0.0013460570135971858,0.001132453051310668
46,apache_3j_diagnosis,d1_lactate_min,0.0034802219959062888,0.00012695351109653365,-0.00022246147940780764
47,gcs_verbal_apache,d1_bun_min,0.0034742430949793826,-0.00036150763206979186,-0.0006190646841331582
48,apache_3j_diagnosis,d1_bun_max,0.003425671578065194,6.266094117837119e-05,-0.0006610218519850376
49,d1_heartrate_min,d1_wbc_min,0.0033547162795859787,-0.00021020409313464523,4.141288880755581e-05
50,d1_spo2_min,d1_heartrate_min,0.003302425095410443,9.339957513979726e-05,0.0005081181829500445
51,d1_bun_max,d1_heartrate_max,0.0031917356569216957,-0.0004446599395946856,-0.00022499431114706542
52,age,d1_wbc_min,0.0031574226144535948,0.0002118547892462024,0.0004644102005345429
53,d1_heartrate_max,d1_bun_min,0.0030111945879928523,-0.0003003164364930148,-0.00047566385672743474
54,d1_spo2_min,gcs_eyes_apache,0.0029785330970441832,-0.0012708577428705073,-0.0006189483460537115
55,age,pre_icu_los_days,0.002916802100538298,-0.0008866745812211915,8.874395579868617e-05
56,gcs_motor_apache,d1_sysbp_min,0.002904735286496524,-0.0007608203687008485,-0.00044761101529038847
57,d1_spo2_min,gcs_verbal_apache,0.0028224230178484477,-0.0010825025969073152,-0.0006222603793821768
58,d1_bun_max,d1_resprate_max,0.0028146075088330445,0.0005545007146306114,0.0005885760699227639
59,age,d1_resprate_min,0.0027820996698481033,-0.00014561808988699384,-0.0005830893248532805
60,apache_3j_diagnosis,d1_sysbp_min,0.002770642407818952,-0.0004426218984492018,-8.52079923992185e-05
61,d1_spo2_min,d1_bun_min,0.002738453862576104,-0.0006177789055303442,-0.0005663799171126251
62,apache_3j_diagnosis,pre_icu_los_days,0.0026913526910144958,-9.454320244623032e-05,-0.00020725507181232428
63,ventilated_apache,d1_heartrate_min,0.002684455212102883,2.3106662200200096e-05,-0.0006859199136544745
64,d1_sysbp_min,d1_lactate_min,0.0026693922707812174,0.0006382991686515521,0.00142197400851252
65,gcs_motor_apache,d1_lactate_min,0.0026063844741612456,-0.0014283550413267054,-0.0003635408822386749
66,age,gcs_verbal_apache,0.0025912224267983937,3.031795868445961e-05,-0.00016829987484779602
67,age,d1_bun_max,0.002580190558588436,-0.0008975008539957378,-0.0005766708278842005
68,d1_heartrate_max,d1_resprate_max,0.0025713082194288293,-0.0006418592167166555,-0.0006353728104254949
69,d1_resprate_max,d1_bun_min,0.002466766943308877,0.00046437650206555104,0.0006152202395112344
70,age,gcs_eyes_apache,0.0024277565277100997,0.00011135867473007597,3.0309850390926755e-05
71,ventilated_apache,d1_resprate_min,0.0023169235135099262,-5.349238702935059e-05,-0.0006734581180842745
72,age,d1_hemaglobin_max,0.002309558964390837,-0.00048249014941372615,-0.0007334206532221071
73,d1_heartrate_max,pre_icu_los_days,0.0022892209350724433,-0.00023559480223910782,-0.0004448578543789877
74,d1_bun_max,urineoutput_apache,0.0022779177116175084,4.698560696655365e-05,-3.813725957113187e-05
75,d1_bun_max,pre_icu_los_days,0.002237743681954436,0.00017962272170956139,-0.0002147265044091673
76,gcs_verbal_apache,pre_icu_los_days,0.0022324986493964033,-0.0006454714740195104,-0.0005521074541605509
77,gcs_motor_apache,elective_surgery,0.0021199481119394863,-9.30217972367783e-06,-0.0006371720663347854
78,d1_spo2_min,d1_resprate_min,0.0021002033271581857,0.0002885700613885311,0.00041343931897314513
79,gcs_motor_apache,gcs_eyes_apache,0.0020852471483835547,0.0009873693152167313,0.0013173358835759225
80,d1_wbc_min,elective_surgery,0.00205030162142113,-0.0004223392604628326,-0.0005889228991509068
81,d1_heartrate_max,urineoutput_apache,0.002044676823342987,-0.00042774089457802886,-0.000261364952507619
82,apache_3j_diagnosis,d1_bun_min,0.0020007879542574434,-0.0005771765638648241,-0.0005353646670922146
83,elective_surgery,d1_lactate_min,0.001972871896028868,-0.00023207509161078468,0.00030494720558187863
84,d1_sysbp_min,d1_resprate_min,0.001968986293027965,-0.00042411951283495173,-0.0007449426017670959
85,d1_resprate_max,urineoutput_apache,0.001954648564028307,-0.00044088716902625826,-5.2137959467647584e-05
86,d1_bun_min,d1_hemaglobin_max,0.0018858832943056132,-0.0005545861784049661,-0.0010516396394555684
87,apache_3j_diagnosis,d1_resprate_max,0.0018848980766631093,9.908920798034192e-05,0.00031707774203949704
88,d1_bun_max,d1_hemaglobin_max,0.0018545098335790375,-0.00028856925263112963,-0.00037491807487264554
89,gcs_motor_apache,d1_resprate_max,0.0018514013052119763,-0.00037726828075758216,-0.000336193076934186
90,d1_resprate_max,pre_icu_los_days,0.0018391115003350874,-0.00022539380260385184,-0.00014062735967329562
91,apache_3j_diagnosis,d1_resprate_min,0.0018306112810198194,0.00031257547201393434,-0.00039038372392244516
92,d1_heartrate_min,pre_icu_los_days,0.0017724570789160576,-0.0001619530200006357,-0.0001802177090472018
93,d1_resprate_max,d1_sysbp_min,0.0017380982568540686,-0.0003075734246552951,-2.1335306763724697e-05
94,d1_spo2_min,d1_heartrate_max,0.0017301107388634418,-0.0004860240201258919,-6.776094588317005e-05
95,apache_3j_diagnosis,d1_heartrate_min,0.001706930546846354,1.0659632962374902e-05,-5.6372282996482444e-05
96,gcs_motor_apache,gcs_verbal_apache,0.0016601883576543215,0.0008611953015837196,0.0009183468909203976
97,d1_bun_max,d1_lactate_min,0.0016169825248877811,0.00034422278651719847,0.0006206989484455791
98,d1_bun_max,gcs_eyes_apache,0.0015737152476874515,-0.00031016245821294605,-0.00042252725461411323
99,apache_3j_diagnosis,d1_heartrate_max,0.0015491044426171913,-0.00029454311069221286,-5.890361961087994e-05
100,d1_bun_min,urineoutput_apache,0.0015477851144833155,4.935958995170015e-05,0.0002018985533508024
101,urineoutput_apache,d1_sysbp_min,0.0015225959258941299,0.0004924899635039524,7.368867258039763e-05
102,d1_heartrate_max,d1_sysbp_min,0.0014897674351531229,0.0006045180909306682,0.0005709817763546704
103,d1_heartrate_min,d1_hemaglobin_max,0.0014648721900083694,-1.5765304029661807e-05,-8.383159762906881e-05
104,d1_sysbp_min,pre_icu_los_days,0.0014391975295222732,0.00010820413096098477,3.101648530319156e-05
105,d1_heartrate_min,d1_resprate_max,0.0014297813171459334,-8.61795005888094e-05,0.00014858522793657685
106,apache_3j_diagnosis,urineoutput_apache,0.0014175413281214343,0.00012574653294570069,-7.053956671548816e-05
107,gcs_verbal_apache,d1_resprate_min,0.0014075374641149185,-0.00026105190128814,-0.00042526185559953536
108,d1_heartrate_max,d1_resprate_min,0.0013562821118798384,-9.117346040741613e-05,0.00020634836077378923
109,d1_resprate_max,gcs_eyes_apache,0.0013531144997822233,-0.00011038284583313732,-0.0001221779193914582
110,gcs_verbal_apache,d1_sysbp_min,0.0013504579106418245,0.0003722276810771941,0.0006307942705395639
111,d1_heartrate_max,gcs_eyes_apache,0.001341010183708949,-0.0002873007448008921,-0.0001552333765809993
112,d1_heartrate_min,d1_resprate_min,0.0013232629378210202,-0.0002261629286552136,-7.31431083989954e-05
113,age,urineoutput_apache,0.0012722813940918235,6.833466513989696e-05,3.6542593827819156e-05
114,d1_resprate_max,d1_lactate_min,0.0012680514483438996,4.449272546531492e-05,0.00011739844445663011
115,d1_spo2_min,pre_icu_los_days,0.00126538724523035,-0.00014048240319887968,-0.00019175713644346528
116,apache_3j_diagnosis,d1_hemaglobin_max,0.0012446716239955075,-7.640132939011306e-05,-5.2374238474914455e-05
117,d1_bun_min,d1_lactate_min,0.001232994057453192,0.0001717329900108526,0.00045234575140308943
118,d1_bun_max,d1_heartrate_min,0.0012241284478204286,1.4234836037569865e-06,6.507387694394427e-05
119,pre_icu_los_days,d1_hemaglobin_max,0.0012097976552283658,0.00010641189539363442,5.941948282588151e-05
120,d1_heartrate_min,gcs_eyes_apache,0.001201256212927192,-0.00012106258271525283,-4.5301360306631284e-05
121,gcs_motor_apache,d1_resprate_min,0.0011956961740238093,-0.00024474056935756957,-0.00029928212895251755
122,gcs_motor_apache,pre_icu_los_days,0.0011866796057264743,-4.018904279369515e-05,-0.00023786891091220544
123,d1_heartrate_min,d1_sysbp_min,0.0011852516571720215,1.7705671210549307e-05,0.0001564482747449869
124,d1_bun_min,pre_icu_los_days,0.001181139307765391,9.67704192039593e-05,0.00012450752648720013
125,d1_heartrate_min,d1_lactate_min,0.0011615715646634247,-0.00031439076563205244,-0.0002992747350851505
126,ventilated_apache,gcs_eyes_apache,0.0011550759865911581,0.0004712377880528172,0.0006395031915765736
127,urineoutput_apache,d1_resprate_min,0.0011543532717449712,-8.779687578859529e-05,0.00014771705278972713
128,d1_heartrate_max,elective_surgery,0.0011471754204818937,-0.00043280018288811237,0.0002660865873074708
129,urineoutput_apache,d1_wbc_min,0.0011437113739551296,0.0001830763238601987,-4.635517749941121e-05
130,d1_resprate_min,gcs_eyes_apache,0.0011101667348899428,-0.00012192612317373054,-0.00038510318783290654
131,pre_icu_los_days,d1_wbc_min,0.0011044391275244103,-0.000326234634295972,-0.00017110184608676795
132,d1_heartrate_max,d1_wbc_min,0.0010987127671746504,-0.00028555927331945437,-7.665840889752089e-05
133,d1_spo2_min,d1_resprate_max,0.0010900312510492764,4.070069863676415e-06,0.0001851752108203404
134,d1_lactate_min,gcs_eyes_apache,0.0010771276440780626,-0.0005364269978255259,-0.0002818507359557611
135,d1_heartrate_max,d1_lactate_min,0.0010592933894544084,-0.0004141650011805856,-0.0001559199925854382
136,d1_sysbp_min,gcs_eyes_apache,0.001040923401099332,-0.0004936350049021218,-0.00018473143120990046
137,gcs_verbal_apache,d1_lactate_min,0.0010375508960046387,-0.0005150017851288408,-0.00017807524841530333
138,d1_resprate_max,d1_wbc_min,0.0010211491678959212,-5.009649556281081e-05,0.00018572572526858502
139,d1_bun_min,d1_resprate_min,0.0010190185389909847,-0.0001378079063197772,-0.00012977166824752588
140,d1_sysbp_min,elective_surgery,0.0010181106394059369,9.10490023251947e-05,-0.00020845777119281214
141,d1_spo2_min,d1_wbc_min,0.001010006627561572,-0.0002025357213852316,-1.4694449710159303e-05
142,d1_bun_min,d1_wbc_min,0.0009977628026105808,2.1403295833331604e-06,-5.2552469507018924e-05
143,gcs_verbal_apache,gcs_eyes_apache,0.0009707769197784636,0.0004475263217724077,0.0005682057021624627
